passer,recipient,n_passes_completed
Andrew Robertson,Billy Gilmour,3
Andrew Robertson,Callum McGregor,7
Andrew Robertson,Che Adams,4
Andrew Robertson,Grant Hanley,2
Andrew Robertson,John McGinn,4
Andrew Robertson,Kieran Tierney,8
Andrew Robertson,Lyndon Dykes,3
Andrew Robertson,Scott McTominay,1
Andrew Robertson,"Stephen O""Donnell",1
Andrew Robertson,Stuart Armstrong,2
Billy Gilmour,Andrew Robertson,3
Billy Gilmour,Callum McGregor,3
Billy Gilmour,Che Adams,1
Billy Gilmour,Grant Hanley,4
Billy Gilmour,John McGinn,6
Billy Gilmour,Kieran Tierney,10
Billy Gilmour,Scott McTominay,9
Billy Gilmour,"Stephen O""Donnell",4
Callum McGregor,Andrew Robertson,8
Callum McGregor,Billy Gilmour,10
Callum McGregor,Che Adams,1
Callum McGregor,Grant Hanley,3
Callum McGregor,John McGinn,1
Callum McGregor,Kieran Tierney,4
Callum McGregor,Lyndon Dykes,1
Callum McGregor,Scott McTominay,2
Callum McGregor,"Stephen O""Donnell",3
Callum McGregor,Stuart Armstrong,1
Che Adams,Andrew Robertson,4
Che Adams,Billy Gilmour,3
Che Adams,Callum McGregor,4
Che Adams,John McGinn,4
Che Adams,Kieran Tierney,2
Che Adams,Lyndon Dykes,1
Che Adams,Scott McTominay,2
Che Adams,Stuart Armstrong,1
David Marshall,Andrew Robertson,3
David Marshall,Billy Gilmour,1
David Marshall,Che Adams,1
David Marshall,John McGinn,1
David Marshall,Kieran Tierney,1
David Marshall,Lyndon Dykes,9
David Marshall,Scott McTominay,2
Grant Hanley,Andrew Robertson,1
Grant Hanley,Billy Gilmour,2
Grant Hanley,Callum McGregor,3
Grant Hanley,David Marshall,5
Grant Hanley,Kieran Tierney,2
Grant Hanley,Lyndon Dykes,1
Grant Hanley,Scott McTominay,9
Grant Hanley,"Stephen O""Donnell",2
John McGinn,Andrew Robertson,4
John McGinn,Billy Gilmour,2
John McGinn,Callum McGregor,3
John McGinn,Che Adams,3
John McGinn,Grant Hanley,2
John McGinn,Kieran Tierney,1
John McGinn,Lyndon Dykes,1
John McGinn,Scott McTominay,1
John McGinn,"Stephen O""Donnell",4
Kevin Nisbet,Callum McGregor,1
Kevin Nisbet,John McGinn,1
Kieran Tierney,Andrew Robertson,2
Kieran Tierney,Billy Gilmour,5
Kieran Tierney,Callum McGregor,7
Kieran Tierney,Che Adams,1
Kieran Tierney,David Marshall,3
Kieran Tierney,Grant Hanley,11
Kieran Tierney,Lyndon Dykes,2
Kieran Tierney,Scott McTominay,2
Kieran Tierney,"Stephen O""Donnell",3
Kieran Tierney,Stuart Armstrong,1
Lyndon Dykes,Callum McGregor,2
Lyndon Dykes,Che Adams,2
Lyndon Dykes,Kieran Tierney,1
Lyndon Dykes,Scott McTominay,1
Scott McTominay,Andrew Robertson,2
Scott McTominay,Billy Gilmour,5
Scott McTominay,Callum McGregor,5
Scott McTominay,Che Adams,2
Scott McTominay,David Marshall,1
Scott McTominay,Grant Hanley,1
Scott McTominay,John McGinn,4
Scott McTominay,Kevin Nisbet,1
Scott McTominay,Kieran Tierney,1
Scott McTominay,Lyndon Dykes,1
Scott McTominay,"Stephen O""Donnell",11
"Stephen O""Donnell",Andrew Robertson,1
"Stephen O""Donnell",Billy Gilmour,4
"Stephen O""Donnell",Callum McGregor,1
"Stephen O""Donnell",Che Adams,5
"Stephen O""Donnell",David Marshall,4
"Stephen O""Donnell",Grant Hanley,1
"Stephen O""Donnell",John McGinn,4
"Stephen O""Donnell",Kevin Nisbet,1
"Stephen O""Donnell",Kieran Tierney,1
"Stephen O""Donnell",Lyndon Dykes,2
"Stephen O""Donnell",Scott McTominay,3
"Stephen O""Donnell",Stuart Armstrong,1
Stuart Armstrong,Andrew Robertson,4
Stuart Armstrong,Che Adams,2
Stuart Armstrong,Kieran Tierney,1
Stuart Armstrong,Lyndon Dykes,1
