passer,recipient,n_passes_completed
Andrea Belotti,Domenico Berardi,1
Andrea Belotti,Jorge Luiz Frello Filho,1
Ciro Immobile,Emerson Palmieri dos Santos,1
Ciro Immobile,Lorenzo Insigne,3
Ciro Immobile,Marco Verratti,1
Ciro Immobile,Nicolò Barella,1
Domenico Berardi,Federico Bernardeschi,1
Domenico Berardi,Federico Chiesa,1
Domenico Berardi,Giorgio Chiellini,1
Domenico Berardi,Giovanni Di Lorenzo,1
Domenico Berardi,Lorenzo Insigne,1
Domenico Berardi,Nicolò Barella,1
Domenico Berardi,Rafael Tolói,2
Emerson Palmieri dos Santos,Ciro Immobile,5
Emerson Palmieri dos Santos,Gianluigi Donnarumma,1
Emerson Palmieri dos Santos,Giorgio Chiellini,8
Emerson Palmieri dos Santos,Jorge Luiz Frello Filho,1
Emerson Palmieri dos Santos,Lorenzo Insigne,5
Emerson Palmieri dos Santos,Marco Verratti,7
Federico Chiesa,Domenico Berardi,1
Federico Chiesa,Giovanni Di Lorenzo,3
Federico Chiesa,Jorge Luiz Frello Filho,1
Federico Chiesa,Matteo Pessina,1
Federico Chiesa,Nicolò Barella,4
Gianluigi Donnarumma,Andrea Belotti,3
Gianluigi Donnarumma,Domenico Berardi,1
Gianluigi Donnarumma,Emerson Palmieri dos Santos,1
Gianluigi Donnarumma,Federico Chiesa,2
Gianluigi Donnarumma,Giorgio Chiellini,12
Gianluigi Donnarumma,Giovanni Di Lorenzo,3
Gianluigi Donnarumma,Jorge Luiz Frello Filho,1
Gianluigi Donnarumma,Leonardo Bonucci,7
Gianluigi Donnarumma,Lorenzo Insigne,1
Gianluigi Donnarumma,Marco Verratti,2
Gianluigi Donnarumma,Rafael Tolói,2
Giorgio Chiellini,Andrea Belotti,2
Giorgio Chiellini,Ciro Immobile,1
Giorgio Chiellini,Domenico Berardi,2
Giorgio Chiellini,Emerson Palmieri dos Santos,7
Giorgio Chiellini,Federico Chiesa,1
Giorgio Chiellini,Gianluigi Donnarumma,10
Giorgio Chiellini,Giovanni Di Lorenzo,2
Giorgio Chiellini,Jorge Luiz Frello Filho,2
Giorgio Chiellini,Leonardo Bonucci,12
Giorgio Chiellini,Lorenzo Insigne,6
Giorgio Chiellini,Marco Verratti,3
Giorgio Chiellini,Matteo Pessina,1
Giorgio Chiellini,Nicolò Barella,1
Giovanni Di Lorenzo,Andrea Belotti,2
Giovanni Di Lorenzo,Ciro Immobile,2
Giovanni Di Lorenzo,Domenico Berardi,1
Giovanni Di Lorenzo,Federico Chiesa,5
Giovanni Di Lorenzo,Gianluigi Donnarumma,4
Giovanni Di Lorenzo,Giorgio Chiellini,1
Giovanni Di Lorenzo,Jorge Luiz Frello Filho,4
Giovanni Di Lorenzo,Leonardo Bonucci,6
Giovanni Di Lorenzo,Lorenzo Insigne,2
Giovanni Di Lorenzo,Manuel Locatelli,3
Giovanni Di Lorenzo,Matteo Pessina,1
Giovanni Di Lorenzo,Nicolò Barella,2
Jorge Luiz Frello Filho,Ciro Immobile,2
Jorge Luiz Frello Filho,Domenico Berardi,1
Jorge Luiz Frello Filho,Emerson Palmieri dos Santos,3
Jorge Luiz Frello Filho,Federico Chiesa,3
Jorge Luiz Frello Filho,Gianluigi Donnarumma,1
Jorge Luiz Frello Filho,Giorgio Chiellini,3
Jorge Luiz Frello Filho,Giovanni Di Lorenzo,2
Jorge Luiz Frello Filho,Leonardo Bonucci,8
Jorge Luiz Frello Filho,Marco Verratti,3
Jorge Luiz Frello Filho,Nicolò Barella,1
Jorge Luiz Frello Filho,Rafael Tolói,1
Leonardo Bonucci,Domenico Berardi,1
Leonardo Bonucci,Emerson Palmieri dos Santos,2
Leonardo Bonucci,Gianluigi Donnarumma,12
Leonardo Bonucci,Giorgio Chiellini,7
Leonardo Bonucci,Giovanni Di Lorenzo,2
Leonardo Bonucci,Jorge Luiz Frello Filho,5
Leonardo Bonucci,Lorenzo Insigne,4
Leonardo Bonucci,Marco Verratti,1
Leonardo Bonucci,Nicolò Barella,1
Leonardo Bonucci,Rafael Tolói,2
Lorenzo Insigne,Ciro Immobile,2
Lorenzo Insigne,Domenico Berardi,1
Lorenzo Insigne,Emerson Palmieri dos Santos,8
Lorenzo Insigne,Giorgio Chiellini,1
Lorenzo Insigne,Giovanni Di Lorenzo,1
Lorenzo Insigne,Jorge Luiz Frello Filho,2
Lorenzo Insigne,Leonardo Bonucci,1
Lorenzo Insigne,Marco Verratti,3
Lorenzo Insigne,Nicolò Barella,4
Manuel Locatelli,Andrea Belotti,1
Manuel Locatelli,Domenico Berardi,1
Manuel Locatelli,Gianluigi Donnarumma,1
Manuel Locatelli,Jorge Luiz Frello Filho,1
Marco Verratti,Ciro Immobile,1
Marco Verratti,Emerson Palmieri dos Santos,5
Marco Verratti,Federico Chiesa,1
Marco Verratti,Giorgio Chiellini,7
Marco Verratti,Giovanni Di Lorenzo,1
Marco Verratti,Jorge Luiz Frello Filho,2
Marco Verratti,Leonardo Bonucci,1
Marco Verratti,Lorenzo Insigne,4
Marco Verratti,Nicolò Barella,3
Matteo Pessina,Domenico Berardi,1
Matteo Pessina,Federico Chiesa,2
Matteo Pessina,Giorgio Chiellini,1
Matteo Pessina,Giovanni Di Lorenzo,2
Matteo Pessina,Rafael Tolói,1
