passer,recipient,n_passes_completed
Andriy Yarmolenko,Illia Zabarnyi,4
Andriy Yarmolenko,Marlos Romero Bonfim,1
Andriy Yarmolenko,Mykola Matviyenko,3
Andriy Yarmolenko,Oleksandr Karavaev,4
Andriy Yarmolenko,Oleksandr Zinchenko,4
Andriy Yarmolenko,Roman Yaremchuk,3
Andriy Yarmolenko,Ruslan Malinovskiy,1
Andriy Yarmolenko,Serhii Sydorchuk,4
Artem Besedin,Oleksandr Karavaev,1
Heorhii Bushchan,Andriy Yarmolenko,3
Heorhii Bushchan,Illia Zabarnyi,5
Heorhii Bushchan,Mykola Matviyenko,9
Heorhii Bushchan,Mykola Shaparenko,1
Heorhii Bushchan,Oleksandr Karavaev,3
Heorhii Bushchan,Oleksandr Zinchenko,1
Heorhii Bushchan,Roman Yaremchuk,1
Heorhii Bushchan,Serhii Sydorchuk,1
Heorhii Bushchan,Viktor Tsygankov,1
Heorhii Bushchan,Vitalii Mykolenko,3
Illia Zabarnyi,Andriy Yarmolenko,3
Illia Zabarnyi,Heorhii Bushchan,6
Illia Zabarnyi,Marlos Romero Bonfim,3
Illia Zabarnyi,Mykola Matviyenko,14
Illia Zabarnyi,Mykola Shaparenko,1
Illia Zabarnyi,Oleksandr Karavaev,17
Illia Zabarnyi,Oleksandr Zinchenko,5
Illia Zabarnyi,Serhii Sydorchuk,6
Illia Zabarnyi,Vitalii Mykolenko,1
Marlos Romero Bonfim,Andriy Yarmolenko,1
Marlos Romero Bonfim,Illia Zabarnyi,3
Marlos Romero Bonfim,Mykola Matviyenko,1
Marlos Romero Bonfim,Oleksandr Zinchenko,1
Marlos Romero Bonfim,Serhii Sydorchuk,1
Mykola Matviyenko,Heorhii Bushchan,6
Mykola Matviyenko,Illia Zabarnyi,18
Mykola Matviyenko,Mykola Shaparenko,10
Mykola Matviyenko,Oleksandr Karavaev,1
Mykola Matviyenko,Oleksandr Zinchenko,5
Mykola Matviyenko,Ruslan Malinovskiy,4
Mykola Matviyenko,Serhii Sydorchuk,5
Mykola Matviyenko,Viktor Tsygankov,5
Mykola Matviyenko,Vitalii Mykolenko,11
Mykola Shaparenko,Andriy Yarmolenko,2
Mykola Shaparenko,Illia Zabarnyi,2
Mykola Shaparenko,Mykola Matviyenko,4
Mykola Shaparenko,Oleksandr Karavaev,1
Mykola Shaparenko,Oleksandr Zinchenko,2
Mykola Shaparenko,Ruslan Malinovskiy,6
Mykola Shaparenko,Serhii Sydorchuk,5
Mykola Shaparenko,Viktor Tsygankov,3
Mykola Shaparenko,Vitalii Mykolenko,8
Oleksandr Karavaev,Andriy Yarmolenko,16
Oleksandr Karavaev,Heorhii Bushchan,1
Oleksandr Karavaev,Illia Zabarnyi,9
Oleksandr Karavaev,Mykola Matviyenko,6
Oleksandr Karavaev,Oleksandr Zinchenko,6
Oleksandr Karavaev,Roman Yaremchuk,2
Oleksandr Karavaev,Serhii Sydorchuk,5
Oleksandr Karavaev,Vitalii Mykolenko,1
Oleksandr Zinchenko,Andriy Yarmolenko,3
Oleksandr Zinchenko,Illia Zabarnyi,4
Oleksandr Zinchenko,Marlos Romero Bonfim,1
Oleksandr Zinchenko,Mykola Matviyenko,5
Oleksandr Zinchenko,Mykola Shaparenko,4
Oleksandr Zinchenko,Oleksandr Karavaev,5
Oleksandr Zinchenko,Roman Yaremchuk,2
Oleksandr Zinchenko,Serhii Sydorchuk,5
Oleksandr Zinchenko,Viktor Tsygankov,1
Oleksandr Zinchenko,Vitalii Mykolenko,1
Roman Yaremchuk,Andriy Yarmolenko,5
Roman Yaremchuk,Mykola Matviyenko,1
Roman Yaremchuk,Oleksandr Karavaev,1
Roman Yaremchuk,Oleksandr Zinchenko,1
Roman Yaremchuk,Vitalii Mykolenko,1
Ruslan Malinovskiy,Mykola Shaparenko,1
Ruslan Malinovskiy,Oleksandr Karavaev,2
Ruslan Malinovskiy,Oleksandr Zinchenko,2
Ruslan Malinovskiy,Roman Yaremchuk,1
Ruslan Malinovskiy,Serhii Sydorchuk,1
Ruslan Malinovskiy,Vitalii Mykolenko,3
Serhii Sydorchuk,Andriy Yarmolenko,3
Serhii Sydorchuk,Illia Zabarnyi,4
Serhii Sydorchuk,Marlos Romero Bonfim,1
Serhii Sydorchuk,Mykola Matviyenko,4
Serhii Sydorchuk,Mykola Shaparenko,6
Serhii Sydorchuk,Oleksandr Karavaev,3
Serhii Sydorchuk,Oleksandr Zinchenko,5
Serhii Sydorchuk,Roman Yaremchuk,3
Serhii Sydorchuk,Ruslan Malinovskiy,1
Serhii Sydorchuk,Viktor Tsygankov,4
Serhii Sydorchuk,Vitalii Mykolenko,5
Viktor Tsygankov,Artem Besedin,1
Viktor Tsygankov,Mykola Matviyenko,3
Viktor Tsygankov,Mykola Shaparenko,1
Viktor Tsygankov,Oleksandr Karavaev,1
Viktor Tsygankov,Oleksandr Zinchenko,3
Viktor Tsygankov,Roman Yaremchuk,1
Viktor Tsygankov,Serhii Sydorchuk,1
Viktor Tsygankov,Vitalii Mykolenko,2
Vitalii Mykolenko,Marlos Romero Bonfim,1
Vitalii Mykolenko,Mykola Matviyenko,12
Vitalii Mykolenko,Mykola Shaparenko,11
Vitalii Mykolenko,Oleksandr Karavaev,2
Vitalii Mykolenko,Oleksandr Zinchenko,1
Vitalii Mykolenko,Roman Yaremchuk,1
Vitalii Mykolenko,Ruslan Malinovskiy,4
Vitalii Mykolenko,Serhii Sydorchuk,3
Vitalii Mykolenko,Viktor Tsygankov,5
