passer,recipient,n_passes_completed
Aymeric Laporte,César Azpilicueta Tanco,7
Aymeric Laporte,Daniel Olmo Carvajal,4
Aymeric Laporte,Eric García Martret,18
Aymeric Laporte,Fabián Ruiz Peña,2
Aymeric Laporte,Ferrán Torres García,5
Aymeric Laporte,Jordi Alba Ramos,1
Aymeric Laporte,Jorge Resurrección Merodio,5
Aymeric Laporte,José Luis Gayà Peña,23
Aymeric Laporte,Mikel Oyarzabal Ugarte,2
Aymeric Laporte,Pablo Sarabia García,1
Aymeric Laporte,Pau Francisco Torres,8
Aymeric Laporte,Pedro González López,13
Aymeric Laporte,Rodrigo Hernández Cascante,1
Aymeric Laporte,Sergio Busquets i Burgos,16
Aymeric Laporte,Unai Simón Mendibil,8
Aymeric Laporte,Álvaro Borja Morata Martín,9
César Azpilicueta Tanco,Aymeric Laporte,5
César Azpilicueta Tanco,Daniel Olmo Carvajal,5
César Azpilicueta Tanco,Eric García Martret,12
César Azpilicueta Tanco,Fabián Ruiz Peña,3
César Azpilicueta Tanco,Ferrán Torres García,5
César Azpilicueta Tanco,Jorge Resurrección Merodio,5
César Azpilicueta Tanco,Mikel Oyarzabal Ugarte,4
César Azpilicueta Tanco,Pablo Sarabia García,4
César Azpilicueta Tanco,Pedro González López,4
César Azpilicueta Tanco,Rodrigo Hernández Cascante,2
César Azpilicueta Tanco,Sergio Busquets i Burgos,12
César Azpilicueta Tanco,Unai Simón Mendibil,3
César Azpilicueta Tanco,Álvaro Borja Morata Martín,3
Daniel Olmo Carvajal,Aymeric Laporte,1
Daniel Olmo Carvajal,César Azpilicueta Tanco,4
Daniel Olmo Carvajal,Fabián Ruiz Peña,2
Daniel Olmo Carvajal,Jordi Alba Ramos,2
Daniel Olmo Carvajal,Mikel Oyarzabal Ugarte,2
Daniel Olmo Carvajal,Pau Francisco Torres,1
Daniel Olmo Carvajal,Pedro González López,1
Daniel Olmo Carvajal,Rodrigo Hernández Cascante,4
Daniel Olmo Carvajal,Sergio Busquets i Burgos,1
Daniel Olmo Carvajal,Álvaro Borja Morata Martín,3
Eric García Martret,Aymeric Laporte,31
Eric García Martret,César Azpilicueta Tanco,16
Eric García Martret,Ferrán Torres García,1
Eric García Martret,Jorge Resurrección Merodio,11
Eric García Martret,José Luis Gayà Peña,2
Eric García Martret,Pablo Sarabia García,1
Eric García Martret,Pedro González López,1
Eric García Martret,Sergio Busquets i Burgos,10
Eric García Martret,Unai Simón Mendibil,4
Eric García Martret,Álvaro Borja Morata Martín,4
Fabián Ruiz Peña,César Azpilicueta Tanco,4
