passer,recipient,n_passes_completed
Adam Hložek,Jan Bořil,2
Adam Hložek,Patrik Schick,1
Adam Hložek,Petr Ševčík,1
Adam Hložek,Tomáš Souček,1
Adam Hložek,Vladimír Coufal,1
Alex Král,Jakub Jankto,1
Alex Král,Jan Bořil,1
Alex Král,Lukáš Masopust,4
Alex Král,Ondrej Celustka,2
Alex Král,Patrik Schick,2
Alex Král,Tomáš Kalas,1
Alex Král,Tomáš Vaclík,1
Alex Král,Vladimír Coufal,5
Alex Král,Vladimír Darida,2
Jakub Jankto,Jan Bořil,3
Jakub Jankto,Lukáš Masopust,2
Jakub Jankto,Patrik Schick,5
Jakub Jankto,Vladimír Darida,3
Jan Bořil,Alex Král,2
Jan Bořil,Jakub Jankto,4
Jan Bořil,Lukáš Masopust,3
Jan Bořil,Ondrej Celustka,1
Jan Bořil,Patrik Schick,3
Jan Bořil,Petr Ševčík,1
Jan Bořil,Tomáš Holeš,2
Jan Bořil,Tomáš Kalas,4
Jan Bořil,Tomáš Souček,2
Jan Bořil,Tomáš Vaclík,3
Jan Bořil,Vladimír Darida,6
Lukáš Masopust,Alex Král,3
Lukáš Masopust,Jakub Jankto,2
Lukáš Masopust,Jan Bořil,1
Lukáš Masopust,Ondrej Celustka,2
Lukáš Masopust,Patrik Schick,1
Lukáš Masopust,Tomáš Holeš,1
Lukáš Masopust,Tomáš Souček,3
Lukáš Masopust,Tomáš Vaclík,1
Lukáš Masopust,Vladimír Coufal,2
Lukáš Masopust,Vladimír Darida,3
Matěj Vydra,Michael Krmenčík,2
Matěj Vydra,Patrik Schick,1
Matěj Vydra,Tomáš Souček,1
Matěj Vydra,Vladimír Coufal,1
Matěj Vydra,Vladimír Darida,1
Michael Krmenčík,Vladimír Coufal,1
Ondrej Celustka,Alex Král,5
Ondrej Celustka,Jakub Jankto,1
Ondrej Celustka,Jan Bořil,1
Ondrej Celustka,Tomáš Kalas,5
Ondrej Celustka,Tomáš Souček,1
Ondrej Celustka,Tomáš Vaclík,1
Ondrej Celustka,Vladimír Coufal,8
Ondrej Celustka,Vladimír Darida,3
Patrik Schick,Alex Král,2
Patrik Schick,Jan Bořil,1
Patrik Schick,Lukáš Masopust,2
Patrik Schick,Ondrej Celustka,1
Patrik Schick,Tomáš Souček,1
Patrik Schick,Vladimír Coufal,4
Patrik Schick,Vladimír Darida,3
Petr Ševčík,Jan Bořil,2
Petr Ševčík,Matěj Vydra,1
Petr Ševčík,Ondrej Celustka,1
Petr Ševčík,Tomáš Holeš,1
Tomáš Holeš,Adam Hložek,2
Tomáš Holeš,Jan Bořil,1
Tomáš Holeš,Petr Ševčík,1
Tomáš Holeš,Vladimír Darida,1
Tomáš Kalas,Alex Král,1
Tomáš Kalas,Jakub Jankto,1
Tomáš Kalas,Jan Bořil,4
Tomáš Kalas,Ondrej Celustka,4
Tomáš Kalas,Tomáš Souček,1
Tomáš Kalas,Tomáš Vaclík,2
Tomáš Kalas,Vladimír Coufal,1
Tomáš Kalas,Vladimír Darida,2
Tomáš Souček,Adam Hložek,2
Tomáš Souček,Alex Král,2
Tomáš Souček,Jan Bořil,4
Tomáš Souček,Lukáš Masopust,2
Tomáš Souček,Ondrej Celustka,1
Tomáš Souček,Patrik Schick,2
Tomáš Souček,Petr Ševčík,1
Tomáš Souček,Vladimír Coufal,2
Tomáš Souček,Vladimír Darida,2
Tomáš Vaclík,Adam Hložek,1
Tomáš Vaclík,Alex Král,1
Tomáš Vaclík,Patrik Schick,2
Tomáš Vaclík,Tomáš Kalas,2
Tomáš Vaclík,Vladimír Coufal,3
Vladimír Coufal,Adam Hložek,1
Vladimír Coufal,Alex Král,6
Vladimír Coufal,Jakub Jankto,1
Vladimír Coufal,Lukáš Masopust,9
Vladimír Coufal,Matěj Vydra,4
Vladimír Coufal,Michael Krmenčík,1
Vladimír Coufal,Ondrej Celustka,5
Vladimír Coufal,Patrik Schick,8
Vladimír Coufal,Tomáš Holeš,1
Vladimír Coufal,Tomáš Souček,3
Vladimír Coufal,Tomáš Vaclík,1
Vladimír Coufal,Vladimír Darida,13
Vladimír Darida,Adam Hložek,2
Vladimír Darida,Alex Král,2
Vladimír Darida,Jakub Jankto,3
Vladimír Darida,Jan Bořil,3
Vladimír Darida,Lukáš Masopust,2
Vladimír Darida,Ondrej Celustka,4
Vladimír Darida,Patrik Schick,2
Vladimír Darida,Tomáš Holeš,1
Vladimír Darida,Vladimír Coufal,11
