passer,recipient,n_passes_completed
Andrew Robertson,Callum McGregor,4
Andrew Robertson,Che Adams,2
Andrew Robertson,David Marshall,2
Andrew Robertson,John McGinn,3
Andrew Robertson,Kevin Nisbet,1
Andrew Robertson,Kieran Tierney,5
Andrew Robertson,Lyndon Dykes,2
Andrew Robertson,Nathan Patterson,2
Andrew Robertson,Ryan Fraser,3
Andrew Robertson,Scott McKenna,5
Andrew Robertson,Scott McTominay,1
Andrew Robertson,"Stephen O""Donnell",2
Andrew Robertson,Stuart Armstrong,4
Callum McGregor,Andrew Robertson,3
Callum McGregor,Che Adams,1
Callum McGregor,David Marshall,1
Callum McGregor,John McGinn,5
Callum McGregor,Kieran Tierney,8
Callum McGregor,Lyndon Dykes,2
Callum McGregor,Nathan Patterson,1
Callum McGregor,Ryan Fraser,4
Callum McGregor,Scott McTominay,2
Callum McGregor,"Stephen O""Donnell",4
Callum McGregor,Stuart Armstrong,2
Che Adams,Andrew Robertson,3
Che Adams,Callum McGregor,1
Che Adams,Kieran Tierney,1
Che Adams,Scott McTominay,1
Che Adams,"Stephen O""Donnell",2
Che Adams,Stuart Armstrong,1
David Marshall,Andrew Robertson,2
David Marshall,Callum McGregor,4
David Marshall,Che Adams,2
David Marshall,Kieran Tierney,3
David Marshall,Lyndon Dykes,6
David Marshall,Scott McTominay,2
David Marshall,"Stephen O""Donnell",1
Grant Hanley,Andrew Robertson,1
Grant Hanley,David Marshall,4
Grant Hanley,Kieran Tierney,1
Grant Hanley,Scott McTominay,1
John McGinn,Andrew Robertson,2
John McGinn,Callum McGregor,5
John McGinn,Che Adams,3
John McGinn,Grant Hanley,1
John McGinn,Kieran Tierney,2
John McGinn,Lyndon Dykes,1
John McGinn,Nathan Patterson,1
John McGinn,Scott McTominay,4
John McGinn,"Stephen O""Donnell",3
John McGinn,Stuart Armstrong,1
Kevin Nisbet,Scott McKenna,1
Kieran Tierney,Andrew Robertson,8
Kieran Tierney,Callum McGregor,1
Kieran Tierney,David Marshall,4
Kieran Tierney,Grant Hanley,2
Kieran Tierney,John McGinn,3
Kieran Tierney,Kevin Nisbet,1
Kieran Tierney,Lyndon Dykes,1
Kieran Tierney,Scott McKenna,3
Kieran Tierney,Scott McTominay,2
Kieran Tierney,"Stephen O""Donnell",5
Kieran Tierney,Stuart Armstrong,3
Lyndon Dykes,Che Adams,2
Lyndon Dykes,John McGinn,1
Lyndon Dykes,Kieran Tierney,2
Lyndon Dykes,Ryan Fraser,1
Lyndon Dykes,"Stephen O""Donnell",1
Lyndon Dykes,Stuart Armstrong,1
Nathan Patterson,Andrew Robertson,1
Nathan Patterson,Callum McGregor,2
Nathan Patterson,David Marshall,1
Nathan Patterson,Scott McKenna,3
Nathan Patterson,Scott McTominay,2
Ryan Fraser,Callum McGregor,1
Ryan Fraser,Che Adams,1
Ryan Fraser,Kieran Tierney,4
Ryan Fraser,Nathan Patterson,1
Ryan Fraser,Scott McKenna,1
Scott McKenna,Andrew Robertson,1
Scott McKenna,Callum McGregor,1
Scott McKenna,David Marshall,3
Scott McKenna,John McGinn,2
Scott McKenna,Kieran Tierney,2
Scott McKenna,Nathan Patterson,2
Scott McKenna,Scott McTominay,2
Scott McKenna,"Stephen O""Donnell",1
Scott McTominay,Andrew Robertson,2
Scott McTominay,Callum McGregor,7
Scott McTominay,Che Adams,2
Scott McTominay,David Marshall,2
Scott McTominay,John McGinn,3
Scott McTominay,Kieran Tierney,3
Scott McTominay,Lyndon Dykes,1
Scott McTominay,Ryan Fraser,1
Scott McTominay,Scott McKenna,1
Scott McTominay,"Stephen O""Donnell",1
Scott McTominay,Stuart Armstrong,5
"Stephen O""Donnell",Andrew Robertson,1
"Stephen O""Donnell",David Marshall,2
"Stephen O""Donnell",John McGinn,2
"Stephen O""Donnell",Ryan Fraser,1
"Stephen O""Donnell",Scott McTominay,9
"Stephen O""Donnell",Stuart Armstrong,1
Stuart Armstrong,Andrew Robertson,4
Stuart Armstrong,Callum McGregor,1
Stuart Armstrong,John McGinn,3
Stuart Armstrong,Kieran Tierney,7
Stuart Armstrong,Lyndon Dykes,1
Stuart Armstrong,Scott McTominay,1
Stuart Armstrong,"Stephen O""Donnell",2
