passer,recipient,n_passes_completed
Bukayo Saka,Declan Rice,2
Bukayo Saka,Harry Kane,1
Bukayo Saka,John Stones,3
Bukayo Saka,Kalvin Phillips,1
Bukayo Saka,Kieran Trippier,6
Bukayo Saka,Kyle Walker,3
Declan Rice,Bukayo Saka,1
Declan Rice,Harry Kane,2
Declan Rice,Harry Maguire,5
Declan Rice,John Stones,4
Declan Rice,Kalvin Phillips,2
Declan Rice,Kieran Trippier,6
Declan Rice,Kyle Walker,7
Declan Rice,Luke Shaw,9
Declan Rice,Raheem Sterling,7
Harry Kane,Bukayo Saka,1
Harry Kane,Declan Rice,4
Harry Kane,Jack Grealish,2
Harry Kane,Kalvin Phillips,1
Harry Kane,Kieran Trippier,1
Harry Kane,Raheem Sterling,4
Harry Maguire,Bukayo Saka,1
Harry Maguire,Declan Rice,3
Harry Maguire,Harry Kane,3
Harry Maguire,Jack Grealish,2
Harry Maguire,John Stones,11
Harry Maguire,Jordan Pickford,2
Harry Maguire,Kalvin Phillips,2
Harry Maguire,Kyle Walker,6
Harry Maguire,Luke Shaw,10
Harry Maguire,Raheem Sterling,4
Jack Grealish,Declan Rice,1
Jack Grealish,Harry Kane,2
Jack Grealish,Kalvin Phillips,1
Jack Grealish,Luke Shaw,1
John Stones,Bukayo Saka,1
John Stones,Declan Rice,6
John Stones,Harry Kane,1
John Stones,Harry Maguire,11
John Stones,Jordan Pickford,7
John Stones,Kalvin Phillips,12
John Stones,Kieran Trippier,3
John Stones,Kyle Walker,8
John Stones,Luke Shaw,3
Jordan Pickford,Harry Kane,3
Jordan Pickford,Harry Maguire,3
Jordan Pickford,Jack Grealish,1
Jordan Pickford,John Stones,5
Jordan Pickford,Kalvin Phillips,3
Jordan Pickford,Kieran Trippier,1
Jordan Pickford,Kyle Walker,6
Jordan Pickford,Luke Shaw,1
Kalvin Phillips,Declan Rice,10
Kalvin Phillips,Harry Kane,2
Kalvin Phillips,Harry Maguire,6
Kalvin Phillips,John Stones,8
Kalvin Phillips,Jordan Pickford,2
Kalvin Phillips,Kieran Trippier,9
Kalvin Phillips,Kyle Walker,7
Kalvin Phillips,Luke Shaw,2
Kalvin Phillips,Raheem Sterling,4
Kieran Trippier,Bukayo Saka,11
Kieran Trippier,Declan Rice,2
Kieran Trippier,Harry Maguire,3
Kieran Trippier,John Stones,3
Kieran Trippier,Jordan Pickford,3
Kieran Trippier,Kalvin Phillips,6
Kieran Trippier,Kyle Walker,10
Kieran Trippier,Raheem Sterling,3
Kyle Walker,Bukayo Saka,6
Kyle Walker,Declan Rice,4
Kyle Walker,Harry Kane,1
Kyle Walker,Harry Maguire,4
Kyle Walker,John Stones,8
Kyle Walker,Jordan Pickford,6
Kyle Walker,Kalvin Phillips,13
Kyle Walker,Kieran Trippier,9
Kyle Walker,Luke Shaw,2
Kyle Walker,Raheem Sterling,2
Luke Shaw,Bukayo Saka,3
Luke Shaw,Declan Rice,6
Luke Shaw,Harry Maguire,10
Luke Shaw,Jack Grealish,2
Luke Shaw,John Stones,3
Luke Shaw,Kalvin Phillips,3
Luke Shaw,Raheem Sterling,6
Raheem Sterling,Bukayo Saka,1
Raheem Sterling,Declan Rice,4
Raheem Sterling,Harry Kane,4
Raheem Sterling,Harry Maguire,3
Raheem Sterling,Kalvin Phillips,3
Raheem Sterling,Kieran Trippier,3
Raheem Sterling,Luke Shaw,2
