passer,recipient,n_passes_completed
Antonio Rüdiger,Joshua Kimmich,1
Antonio Rüdiger,Kai Havertz,4
Antonio Rüdiger,Manuel Neuer,8
Antonio Rüdiger,Mats Hummels,12
Antonio Rüdiger,Robin Gosens,22
Antonio Rüdiger,Serge Gnabry,3
Antonio Rüdiger,Thomas Müller,1
Antonio Rüdiger,Toni Kroos,18
Antonio Rüdiger,İlkay Gündoğan,12
Joshua Kimmich,Antonio Rüdiger,1
Joshua Kimmich,Kai Havertz,4
Joshua Kimmich,Manuel Neuer,2
Joshua Kimmich,Mats Hummels,6
Joshua Kimmich,Matthias Ginter,19
Joshua Kimmich,Robin Gosens,1
Joshua Kimmich,Serge Gnabry,5
Joshua Kimmich,Thomas Müller,9
Joshua Kimmich,Toni Kroos,8
Joshua Kimmich,İlkay Gündoğan,9
Kai Havertz,Antonio Rüdiger,1
Kai Havertz,Joshua Kimmich,8
Kai Havertz,Mats Hummels,1
Kai Havertz,Robin Gosens,7
Kai Havertz,Serge Gnabry,3
Kai Havertz,Thomas Müller,4
Kai Havertz,Toni Kroos,2
Kai Havertz,İlkay Gündoğan,7
Manuel Neuer,Antonio Rüdiger,4
Manuel Neuer,Joshua Kimmich,3
Manuel Neuer,Mats Hummels,6
Manuel Neuer,Matthias Ginter,2
Manuel Neuer,Robin Gosens,6
Manuel Neuer,Thomas Müller,1
Manuel Neuer,Toni Kroos,5
Manuel Neuer,İlkay Gündoğan,1
Mats Hummels,Antonio Rüdiger,14
Mats Hummels,Joshua Kimmich,4
Mats Hummels,Kai Havertz,2
Mats Hummels,Manuel Neuer,4
Mats Hummels,Matthias Ginter,12
Mats Hummels,Robin Gosens,1
Mats Hummels,Serge Gnabry,2
Mats Hummels,Thomas Müller,1
Mats Hummels,Toni Kroos,21
Mats Hummels,İlkay Gündoğan,8
Matthias Ginter,Antonio Rüdiger,3
Matthias Ginter,Joshua Kimmich,10
Matthias Ginter,Manuel Neuer,5
Matthias Ginter,Mats Hummels,16
Matthias Ginter,Serge Gnabry,1
Matthias Ginter,Thomas Müller,1
Matthias Ginter,Toni Kroos,4
Matthias Ginter,İlkay Gündoğan,6
Robin Gosens,Antonio Rüdiger,17
Robin Gosens,Kai Havertz,4
Robin Gosens,Manuel Neuer,3
Robin Gosens,Serge Gnabry,4
Robin Gosens,Thomas Müller,10
Robin Gosens,Toni Kroos,9
Robin Gosens,İlkay Gündoğan,8
Serge Gnabry,Antonio Rüdiger,1
Serge Gnabry,Joshua Kimmich,5
Serge Gnabry,Robin Gosens,3
Serge Gnabry,Thomas Müller,5
Serge Gnabry,Toni Kroos,5
Serge Gnabry,İlkay Gündoğan,3
Thomas Müller,Antonio Rüdiger,2
Thomas Müller,Joshua Kimmich,6
Thomas Müller,Kai Havertz,3
Thomas Müller,Mats Hummels,1
Thomas Müller,Matthias Ginter,1
Thomas Müller,Robin Gosens,5
Thomas Müller,Serge Gnabry,4
Thomas Müller,Toni Kroos,3
Thomas Müller,İlkay Gündoğan,4
Toni Kroos,Antonio Rüdiger,13
Toni Kroos,Joshua Kimmich,17
Toni Kroos,Kai Havertz,12
Toni Kroos,Mats Hummels,10
Toni Kroos,Matthias Ginter,7
Toni Kroos,Robin Gosens,11
Toni Kroos,Serge Gnabry,4
Toni Kroos,Thomas Müller,11
Toni Kroos,İlkay Gündoğan,12
İlkay Gündoğan,Antonio Rüdiger,10
İlkay Gündoğan,Joshua Kimmich,12
İlkay Gündoğan,Kai Havertz,4
İlkay Gündoğan,Mats Hummels,10
İlkay Gündoğan,Matthias Ginter,7
İlkay Gündoğan,Robin Gosens,4
İlkay Gündoğan,Thomas Müller,8
İlkay Gündoğan,Toni Kroos,18
