passer,recipient,n_passes_completed
Aymeric Laporte,César Azpilicueta Tanco,7
Aymeric Laporte,Eric García Martret,18
Aymeric Laporte,Ferrán Torres García,5
Aymeric Laporte,Jorge Resurrección Merodio,5
Aymeric Laporte,José Luis Gayà Peña,23
Aymeric Laporte,Pablo Sarabia García,1
Aymeric Laporte,Pedro González López,13
Aymeric Laporte,Sergio Busquets i Burgos,16
Aymeric Laporte,Unai Simón Mendibil,8
Aymeric Laporte,Álvaro Borja Morata Martín,9
César Azpilicueta Tanco,Aymeric Laporte,5
César Azpilicueta Tanco,Eric García Martret,12
César Azpilicueta Tanco,Ferrán Torres García,5
César Azpilicueta Tanco,Jorge Resurrección Merodio,5
César Azpilicueta Tanco,Pablo Sarabia García,4
César Azpilicueta Tanco,Pedro González López,4
César Azpilicueta Tanco,Sergio Busquets i Burgos,12
César Azpilicueta Tanco,Unai Simón Mendibil,3
César Azpilicueta Tanco,Álvaro Borja Morata Martín,3
Eric García Martret,Aymeric Laporte,31
Eric García Martret,César Azpilicueta Tanco,16
Eric García Martret,Ferrán Torres García,1
Eric García Martret,Jorge Resurrección Merodio,11
Eric García Martret,José Luis Gayà Peña,2
Eric García Martret,Pablo Sarabia García,1
Eric García Martret,Pedro González López,1
Eric García Martret,Sergio Busquets i Burgos,10
Eric García Martret,Unai Simón Mendibil,4
Eric García Martret,Álvaro Borja Morata Martín,4
Ferrán Torres García,Aymeric Laporte,2
Ferrán Torres García,César Azpilicueta Tanco,4
Ferrán Torres García,Jorge Resurrección Merodio,5
Ferrán Torres García,José Luis Gayà Peña,2
Ferrán Torres García,Pablo Sarabia García,2
Ferrán Torres García,Pedro González López,3
Ferrán Torres García,Sergio Busquets i Burgos,2
Ferrán Torres García,Álvaro Borja Morata Martín,3
Jorge Resurrección Merodio,Aymeric Laporte,4
Jorge Resurrección Merodio,César Azpilicueta Tanco,6
Jorge Resurrección Merodio,Eric García Martret,8
Jorge Resurrección Merodio,Ferrán Torres García,8
Jorge Resurrección Merodio,José Luis Gayà Peña,1
Jorge Resurrección Merodio,Pablo Sarabia García,11
Jorge Resurrección Merodio,Pedro González López,4
Jorge Resurrección Merodio,Sergio Busquets i Burgos,12
Jorge Resurrección Merodio,Unai Simón Mendibil,1
Jorge Resurrección Merodio,Álvaro Borja Morata Martín,1
José Luis Gayà Peña,Aymeric Laporte,17
José Luis Gayà Peña,Eric García Martret,3
José Luis Gayà Peña,Ferrán Torres García,3
José Luis Gayà Peña,Jorge Resurrección Merodio,2
José Luis Gayà Peña,Pablo Sarabia García,5
José Luis Gayà Peña,Pedro González López,4
José Luis Gayà Peña,Sergio Busquets i Burgos,6
José Luis Gayà Peña,Unai Simón Mendibil,1
José Luis Gayà Peña,Álvaro Borja Morata Martín,3
Pablo Sarabia García,Aymeric Laporte,1
Pablo Sarabia García,César Azpilicueta Tanco,4
Pablo Sarabia García,Eric García Martret,2
Pablo Sarabia García,Ferrán Torres García,3
Pablo Sarabia García,Jorge Resurrección Merodio,7
Pablo Sarabia García,José Luis Gayà Peña,6
Pablo Sarabia García,Pedro González López,3
Pablo Sarabia García,Sergio Busquets i Burgos,3
Pablo Sarabia García,Álvaro Borja Morata Martín,1
Pedro González López,Aymeric Laporte,6
Pedro González López,César Azpilicueta Tanco,2
Pedro González López,Eric García Martret,3
Pedro González López,Ferrán Torres García,7
Pedro González López,Jorge Resurrección Merodio,4
Pedro González López,José Luis Gayà Peña,7
Pedro González López,Pablo Sarabia García,1
Pedro González López,Sergio Busquets i Burgos,13
Pedro González López,Unai Simón Mendibil,1
Pedro González López,Álvaro Borja Morata Martín,2
Sergio Busquets i Burgos,Aymeric Laporte,15
Sergio Busquets i Burgos,César Azpilicueta Tanco,5
Sergio Busquets i Burgos,Eric García Martret,17
Sergio Busquets i Burgos,Ferrán Torres García,6
Sergio Busquets i Burgos,Jorge Resurrección Merodio,15
Sergio Busquets i Burgos,José Luis Gayà Peña,1
Sergio Busquets i Burgos,Pablo Sarabia García,4
Sergio Busquets i Burgos,Pedro González López,11
Sergio Busquets i Burgos,Unai Simón Mendibil,2
Sergio Busquets i Burgos,Álvaro Borja Morata Martín,3
Unai Simón Mendibil,Aymeric Laporte,19
Unai Simón Mendibil,César Azpilicueta Tanco,5
Unai Simón Mendibil,Eric García Martret,9
Unai Simón Mendibil,Jorge Resurrección Merodio,1
Unai Simón Mendibil,Pedro González López,1
Unai Simón Mendibil,Álvaro Borja Morata Martín,1
Álvaro Borja Morata Martín,Aymeric Laporte,3
Álvaro Borja Morata Martín,Jorge Resurrección Merodio,8
Álvaro Borja Morata Martín,José Luis Gayà Peña,3
Álvaro Borja Morata Martín,Pablo Sarabia García,3
Álvaro Borja Morata Martín,Pedro González López,3
Álvaro Borja Morata Martín,Sergio Busquets i Burgos,4
