passer,recipient,n_passes_completed
Declan Rice,Harry Kane,1
Declan Rice,John Stones,10
Declan Rice,Kalvin Phillips,5
Declan Rice,Luke Shaw,9
Declan Rice,Mason Mount,5
Declan Rice,Philip Foden,1
Declan Rice,Raheem Sterling,3
Declan Rice,Reece James,14
Declan Rice,Tyrone Mings,13
Harry Kane,Luke Shaw,1
Harry Kane,Mason Mount,1
Harry Kane,Raheem Sterling,2
Harry Kane,Reece James,3
Harry Kane,Tyrone Mings,1
John Stones,Declan Rice,13
John Stones,Jordan Pickford,3
John Stones,Kalvin Phillips,6
John Stones,Luke Shaw,5
John Stones,Mason Mount,1
John Stones,Philip Foden,1
John Stones,Raheem Sterling,1
John Stones,Reece James,24
John Stones,Tyrone Mings,10
Jordan Pickford,John Stones,5
Jordan Pickford,Luke Shaw,6
Jordan Pickford,Mason Mount,1
Jordan Pickford,Philip Foden,1
Jordan Pickford,Raheem Sterling,1
Jordan Pickford,Reece James,6
Jordan Pickford,Tyrone Mings,3
Kalvin Phillips,Declan Rice,5
Kalvin Phillips,John Stones,8
Kalvin Phillips,Jordan Pickford,1
Kalvin Phillips,Luke Shaw,8
Kalvin Phillips,Mason Mount,1
Kalvin Phillips,Philip Foden,6
Kalvin Phillips,Reece James,9
Kalvin Phillips,Tyrone Mings,6
Luke Shaw,Declan Rice,8
Luke Shaw,Harry Kane,6
Luke Shaw,Jordan Pickford,2
Luke Shaw,Kalvin Phillips,4
Luke Shaw,Mason Mount,15
Luke Shaw,Philip Foden,2
Luke Shaw,Raheem Sterling,10
Luke Shaw,Tyrone Mings,9
Mason Mount,Declan Rice,9
Mason Mount,Harry Kane,2
Mason Mount,John Stones,2
Mason Mount,Kalvin Phillips,2
Mason Mount,Luke Shaw,7
Mason Mount,Philip Foden,4
Mason Mount,Raheem Sterling,4
Mason Mount,Reece James,1
Mason Mount,Tyrone Mings,4
Philip Foden,Declan Rice,2
Philip Foden,Harry Kane,2
Philip Foden,John Stones,1
Philip Foden,Kalvin Phillips,6
Philip Foden,Luke Shaw,2
Philip Foden,Mason Mount,1
Philip Foden,Reece James,9
Philip Foden,Tyrone Mings,1
Raheem Sterling,Declan Rice,6
Raheem Sterling,Harry Kane,1
Raheem Sterling,Kalvin Phillips,3
Raheem Sterling,Luke Shaw,4
Raheem Sterling,Mason Mount,3
Raheem Sterling,Philip Foden,3
Raheem Sterling,Reece James,2
Raheem Sterling,Tyrone Mings,1
Reece James,Declan Rice,12
Reece James,Harry Kane,4
Reece James,John Stones,24
Reece James,Jordan Pickford,4
Reece James,Kalvin Phillips,16
Reece James,Mason Mount,4
Reece James,Philip Foden,14
Reece James,Raheem Sterling,6
Reece James,Tyrone Mings,1
Tyrone Mings,Declan Rice,4
Tyrone Mings,Harry Kane,1
Tyrone Mings,John Stones,11
Tyrone Mings,Jordan Pickford,4
Tyrone Mings,Kalvin Phillips,4
Tyrone Mings,Luke Shaw,17
Tyrone Mings,Mason Mount,4
Tyrone Mings,Raheem Sterling,1
Tyrone Mings,Reece James,3
