passer,recipient,n_passes_completed
Declan Rice,Harry Kane,3
Declan Rice,Harry Maguire,4
Declan Rice,Jadon Sancho,3
Declan Rice,John Stones,9
Declan Rice,Kyle Walker,5
Declan Rice,Luke Shaw,7
Declan Rice,Mason Mount,2
Declan Rice,Raheem Sterling,1
Harry Kane,Declan Rice,1
Harry Kane,Harry Maguire,1
Harry Kane,Jadon Sancho,3
Harry Kane,Kyle Walker,4
Harry Kane,Luke Shaw,1
Harry Kane,Mason Mount,2
Harry Kane,Raheem Sterling,2
Harry Maguire,Declan Rice,5
Harry Maguire,Harry Kane,1
Harry Maguire,Jadon Sancho,2
Harry Maguire,John Stones,26
Harry Maguire,Kyle Walker,8
Harry Maguire,Luke Shaw,19
Harry Maguire,Mason Mount,7
Harry Maguire,Raheem Sterling,8
Jadon Sancho,Declan Rice,2
Jadon Sancho,Harry Kane,1
Jadon Sancho,Harry Maguire,2
Jadon Sancho,John Stones,2
Jadon Sancho,Kalvin Phillips,4
Jadon Sancho,Kyle Walker,15
Jadon Sancho,Luke Shaw,1
Jadon Sancho,Mason Mount,9
Jadon Sancho,Raheem Sterling,2
John Stones,Declan Rice,7
John Stones,Harry Kane,2
John Stones,Harry Maguire,28
John Stones,Jadon Sancho,3
John Stones,Jordan Pickford,8
John Stones,Kalvin Phillips,4
John Stones,Kyle Walker,24
John Stones,Luke Shaw,4
John Stones,Mason Mount,1
Jordan Pickford,Declan Rice,1
Jordan Pickford,Harry Kane,1
Jordan Pickford,Harry Maguire,4
Jordan Pickford,John Stones,4
Jordan Pickford,Kyle Walker,1
Jordan Pickford,Luke Shaw,1
Jordan Pickford,Mason Mount,1
Kalvin Phillips,Harry Maguire,5
Kalvin Phillips,Jadon Sancho,1
Kalvin Phillips,John Stones,4
Kalvin Phillips,Jordan Pickford,1
Kalvin Phillips,Kyle Walker,3
Kalvin Phillips,Luke Shaw,4
Kalvin Phillips,Mason Mount,2
Kalvin Phillips,Raheem Sterling,1
Kyle Walker,Declan Rice,6
Kyle Walker,Harry Kane,4
Kyle Walker,Jadon Sancho,20
Kyle Walker,John Stones,24
Kyle Walker,Jordan Pickford,3
Kyle Walker,Kalvin Phillips,6
Kyle Walker,Mason Mount,6
Kyle Walker,Raheem Sterling,1
Luke Shaw,Declan Rice,5
Luke Shaw,Harry Kane,2
Luke Shaw,Harry Maguire,24
Luke Shaw,Jadon Sancho,1
Luke Shaw,John Stones,1
Luke Shaw,Kalvin Phillips,7
Luke Shaw,Mason Mount,2
Luke Shaw,Raheem Sterling,10
Mason Mount,Declan Rice,1
Mason Mount,Harry Kane,3
Mason Mount,Harry Maguire,1
Mason Mount,Jadon Sancho,7
Mason Mount,John Stones,4
Mason Mount,Kalvin Phillips,2
Mason Mount,Kyle Walker,4
Mason Mount,Luke Shaw,2
Mason Mount,Raheem Sterling,3
Raheem Sterling,Harry Kane,3
Raheem Sterling,Harry Maguire,6
Raheem Sterling,Kyle Walker,1
Raheem Sterling,Luke Shaw,8
