passer,recipient,n_passes_completed
Andriy Yarmolenko,Illia Zabarnyi,4
Andriy Yarmolenko,Mykola Shaparenko,1
Andriy Yarmolenko,Oleksandr Karavaev,6
Andriy Yarmolenko,Oleksandr Zinchenko,4
Andriy Yarmolenko,Roman Yaremchuk,3
Andriy Yarmolenko,Serhii Sydorchuk,8
Heorhii Bushchan,Andriy Yarmolenko,1
Heorhii Bushchan,Illia Zabarnyi,1
Heorhii Bushchan,Mykola Matviyenko,11
Heorhii Bushchan,Oleksandr Karavaev,1
Heorhii Bushchan,Oleksandr Zinchenko,7
Heorhii Bushchan,Sergey Krivtsov,1
Illia Zabarnyi,Andriy Yarmolenko,2
Illia Zabarnyi,Heorhii Bushchan,5
Illia Zabarnyi,Mykola Matviyenko,2
Illia Zabarnyi,Oleksandr Karavaev,27
Illia Zabarnyi,Oleksandr Zinchenko,2
Illia Zabarnyi,Roman Yaremchuk,3
Illia Zabarnyi,Sergey Krivtsov,32
Illia Zabarnyi,Serhii Sydorchuk,11
Illia Zabarnyi,Taras Stepanenko,2
Mykola Matviyenko,Andriy Yarmolenko,1
Mykola Matviyenko,Heorhii Bushchan,5
Mykola Matviyenko,Illia Zabarnyi,17
Mykola Matviyenko,Mykola Shaparenko,13
Mykola Matviyenko,Oleksandr Zinchenko,21
Mykola Matviyenko,Roman Yaremchuk,2
Mykola Matviyenko,Sergey Krivtsov,21
Mykola Matviyenko,Serhii Sydorchuk,2
Mykola Matviyenko,Taras Stepanenko,8
Mykola Shaparenko,Andriy Yarmolenko,2
Mykola Shaparenko,Illia Zabarnyi,2
Mykola Shaparenko,Mykola Matviyenko,8
Mykola Shaparenko,Oleksandr Karavaev,3
Mykola Shaparenko,Oleksandr Zinchenko,6
Mykola Shaparenko,Roman Yaremchuk,6
Mykola Shaparenko,Sergey Krivtsov,3
Mykola Shaparenko,Serhii Sydorchuk,1
Mykola Shaparenko,Taras Stepanenko,4
Oleksandr Karavaev,Andriy Yarmolenko,14
Oleksandr Karavaev,Illia Zabarnyi,19
Oleksandr Karavaev,Mykola Matviyenko,1
Oleksandr Karavaev,Mykola Shaparenko,1
Oleksandr Karavaev,Oleksandr Zinchenko,1
Oleksandr Karavaev,Roman Yaremchuk,4
Oleksandr Karavaev,Sergey Krivtsov,3
Oleksandr Karavaev,Serhii Sydorchuk,11
Oleksandr Karavaev,Taras Stepanenko,4
Oleksandr Zinchenko,Heorhii Bushchan,3
Oleksandr Zinchenko,Mykola Matviyenko,20
Oleksandr Zinchenko,Mykola Shaparenko,12
Oleksandr Zinchenko,Oleksandr Karavaev,3
Oleksandr Zinchenko,Roman Yaremchuk,2
Oleksandr Zinchenko,Sergey Krivtsov,3
Oleksandr Zinchenko,Serhii Sydorchuk,1
Oleksandr Zinchenko,Taras Stepanenko,13
Roman Yaremchuk,Andriy Yarmolenko,6
Roman Yaremchuk,Mykola Shaparenko,3
Roman Yaremchuk,Oleksandr Karavaev,1
Roman Yaremchuk,Oleksandr Zinchenko,5
Roman Yaremchuk,Serhii Sydorchuk,2
Roman Yaremchuk,Taras Stepanenko,1
Sergey Krivtsov,Andriy Yarmolenko,1
Sergey Krivtsov,Heorhii Bushchan,5
Sergey Krivtsov,Illia Zabarnyi,31
Sergey Krivtsov,Mykola Matviyenko,29
Sergey Krivtsov,Oleksandr Karavaev,2
Sergey Krivtsov,Serhii Sydorchuk,4
Sergey Krivtsov,Taras Stepanenko,3
Serhii Sydorchuk,Andriy Yarmolenko,6
Serhii Sydorchuk,Illia Zabarnyi,11
Serhii Sydorchuk,Mykola Matviyenko,4
Serhii Sydorchuk,Oleksandr Karavaev,11
Serhii Sydorchuk,Oleksandr Zinchenko,1
Serhii Sydorchuk,Roman Yaremchuk,1
Serhii Sydorchuk,Sergey Krivtsov,7
Serhii Sydorchuk,Taras Stepanenko,3
Taras Stepanenko,Andriy Yarmolenko,2
Taras Stepanenko,Heorhii Bushchan,1
Taras Stepanenko,Illia Zabarnyi,3
Taras Stepanenko,Mykola Matviyenko,6
Taras Stepanenko,Mykola Shaparenko,6
Taras Stepanenko,Oleksandr Zinchenko,7
Taras Stepanenko,Roman Yaremchuk,3
Taras Stepanenko,Sergey Krivtsov,4
Taras Stepanenko,Serhii Sydorchuk,6
