passer,recipient,n_passes_completed
András Schäfer,Attila Fiola,5
András Schäfer,Attila Szalai,4
András Schäfer,Loïc Négo,2
András Schäfer,Roland Sallai,2
András Schäfer,Willi Orban,1
András Schäfer,Ádám Nagy,1
András Schäfer,Ádám Szalai,3
Attila Fiola,András Schäfer,3
Attila Fiola,Attila Szalai,2
Attila Fiola,László Kleinheisler,1
Attila Fiola,Roland Sallai,2
Attila Fiola,Ádám Szalai,4
Attila Szalai,András Schäfer,4
Attila Szalai,Attila Fiola,2
Attila Szalai,Endre Botka,1
Attila Szalai,Loïc Négo,1
Attila Szalai,László Kleinheisler,1
Attila Szalai,Péter Gulácsi,6
Attila Szalai,Roland Sallai,1
Attila Szalai,Willi Orban,2
Attila Szalai,Ádám Nagy,2
Attila Szalai,Ádám Szalai,1
Endre Botka,Loïc Négo,3
Endre Botka,László Kleinheisler,4
Endre Botka,Péter Gulácsi,1
Endre Botka,Willi Orban,4
Endre Botka,Ádám Nagy,3
Endre Botka,Ádám Szalai,1
Loïc Négo,Endre Botka,2
Loïc Négo,László Kleinheisler,6
Loïc Négo,Péter Gulácsi,1
Loïc Négo,Roland Sallai,2
Loïc Négo,Ádám Nagy,2
Loïc Négo,Ádám Szalai,4
László Kleinheisler,András Schäfer,2
László Kleinheisler,Attila Fiola,1
László Kleinheisler,Endre Botka,2
László Kleinheisler,Loïc Négo,2
László Kleinheisler,Roland Sallai,3
László Kleinheisler,Willi Orban,2
László Kleinheisler,Ádám Nagy,1
Péter Gulácsi,Attila Fiola,1
Péter Gulácsi,Attila Szalai,5
Péter Gulácsi,Endre Botka,2
Péter Gulácsi,László Kleinheisler,1
Péter Gulácsi,Roland Sallai,2
Péter Gulácsi,Willi Orban,5
Péter Gulácsi,Ádám Nagy,1
Péter Gulácsi,Ádám Szalai,2
Roland Sallai,András Schäfer,1
Roland Sallai,Attila Fiola,1
Roland Sallai,Attila Szalai,2
Roland Sallai,Endre Botka,1
Roland Sallai,Loïc Négo,2
Roland Sallai,László Kleinheisler,1
Roland Sallai,Ádám Nagy,2
Roland Sallai,Ádám Szalai,2
Willi Orban,Attila Fiola,1
Willi Orban,Attila Szalai,5
Willi Orban,Endre Botka,6
Willi Orban,László Kleinheisler,2
Willi Orban,Péter Gulácsi,2
Willi Orban,Ádám Nagy,3
Ádám Nagy,András Schäfer,1
Ádám Nagy,Attila Szalai,4
Ádám Nagy,Endre Botka,4
Ádám Nagy,Loïc Négo,2
Ádám Nagy,László Kleinheisler,3
Ádám Nagy,Péter Gulácsi,2
Ádám Nagy,Roland Sallai,2
Ádám Nagy,Ádám Szalai,3
Ádám Szalai,András Schäfer,1
Ádám Szalai,Attila Fiola,1
Ádám Szalai,Loïc Négo,2
Ádám Szalai,László Kleinheisler,2
