passer,recipient,n_passes_completed
Andrej Kramarić,Ivan Perišić,3
Andrej Kramarić,Luka Modrić,4
Andrej Kramarić,Marcelo Brozović,4
Andrej Kramarić,Mateo Kovačić,2
Andrej Kramarić,Šime Vrsaljko,4
Ante Rebić,Ivan Perišić,1
Ante Rebić,Luka Modrić,2
Ante Rebić,Marcelo Brozović,1
Ante Rebić,Mateo Kovačić,3
Ante Rebić,Šime Vrsaljko,1
Domagoj Vida,Dominik Livaković,3
Domagoj Vida,Duje Ćaleta-Car,8
Domagoj Vida,Luka Modrić,4
Domagoj Vida,Marcelo Brozović,8
Domagoj Vida,Mateo Kovačić,3
Domagoj Vida,Šime Vrsaljko,7
Dominik Livaković,Ante Rebić,1
Dominik Livaković,Domagoj Vida,4
Dominik Livaković,Duje Ćaleta-Car,8
Dominik Livaković,Ivan Perišić,2
Dominik Livaković,Joško Gvardiol,2
Dominik Livaković,Luka Modrić,2
Dominik Livaković,Marcelo Brozović,1
Dominik Livaković,Šime Vrsaljko,1
Duje Ćaleta-Car,Domagoj Vida,12
Duje Ćaleta-Car,Dominik Livaković,9
Duje Ćaleta-Car,Ivan Perišić,3
Duje Ćaleta-Car,Joško Gvardiol,1
Duje Ćaleta-Car,Luka Modrić,8
Duje Ćaleta-Car,Marcelo Brozović,9
Duje Ćaleta-Car,Mateo Kovačić,4
Duje Ćaleta-Car,Šime Vrsaljko,2
Ivan Perišić,Andrej Kramarić,2
Ivan Perišić,Ante Rebić,2
Ivan Perišić,Domagoj Vida,1
Ivan Perišić,Joško Gvardiol,5
Ivan Perišić,Marcelo Brozović,2
Ivan Perišić,Mateo Kovačić,2
Joško Gvardiol,Andrej Kramarić,1
Joško Gvardiol,Ante Rebić,1
Joško Gvardiol,Domagoj Vida,1
Joško Gvardiol,Duje Ćaleta-Car,5
Joško Gvardiol,Ivan Perišić,5
Joško Gvardiol,Luka Modrić,1
Joško Gvardiol,Marcelo Brozović,2
Joško Gvardiol,Mateo Kovačić,11
Luka Modrić,Andrej Kramarić,10
Luka Modrić,Ante Rebić,2
Luka Modrić,Domagoj Vida,4
Luka Modrić,Duje Ćaleta-Car,4
Luka Modrić,Ivan Perišić,3
Luka Modrić,Joško Gvardiol,5
Luka Modrić,Marcelo Brozović,10
Luka Modrić,Mateo Kovačić,8
Luka Modrić,Šime Vrsaljko,13
Marcelo Brozović,Andrej Kramarić,4
Marcelo Brozović,Ante Rebić,2
Marcelo Brozović,Domagoj Vida,3
Marcelo Brozović,Dominik Livaković,1
Marcelo Brozović,Duje Ćaleta-Car,6
Marcelo Brozović,Joško Gvardiol,5
Marcelo Brozović,Luka Modrić,10
Marcelo Brozović,Mateo Kovačić,13
Marcelo Brozović,Šime Vrsaljko,4
Mateo Kovačić,Ante Rebić,2
Mateo Kovačić,Domagoj Vida,4
Mateo Kovačić,Duje Ćaleta-Car,2
Mateo Kovačić,Ivan Perišić,4
Mateo Kovačić,Joško Gvardiol,6
Mateo Kovačić,Luka Modrić,14
Mateo Kovačić,Marcelo Brozović,8
Mateo Kovačić,Šime Vrsaljko,5
Šime Vrsaljko,Andrej Kramarić,3
Šime Vrsaljko,Ante Rebić,4
Šime Vrsaljko,Domagoj Vida,2
Šime Vrsaljko,Dominik Livaković,2
Šime Vrsaljko,Duje Ćaleta-Car,2
Šime Vrsaljko,Luka Modrić,13
Šime Vrsaljko,Marcelo Brozović,4
Šime Vrsaljko,Mateo Kovačić,3
